,latitude,longitude
fort rd,1.295969,103.8852934
xilin ave,1.3264832,103.9687328
tampines rd,1.3608638000000002,103.8871358
beach road,1.3030517,103.8622669
choa chu kang road,1.3783031,103.7582767
bedok north ave 3,1.336884,103.9331562
newton,1.3129596,103.8388638
braddell rd,1.3432363,103.8578719
mount vernon road,1.3417437,103.881355
ang mo kio avenue 1,1.3642639,103.8430657
upper thomson road,1.3594396999999998,103.828876
pasir panjang road,1.272621,103.801761
simei ave,1.332892,103.9541776
ang mo kio ave 3,1.3706564,103.8733734
bras basah rd,1.296063,103.8518634
penjuru rd,1.3086406000000002,103.7337015
bras basah road,1.296063,103.8518634
lower delta rd,1.2749485,103.82285290000002
merchant rd,1.2885069,103.8447163
adam rd,1.3284243999999998,103.8141326
tampines ave 10,1.365374,103.9308438
bedok south ave 1,1.3239251,103.9321523
jurong town hall,1.3264148,103.7452272
woodlands rd,1.4114818999999998,103.7559456
jalan ahmad ibrahim,1.3227725,103.6979979
woodlands road,1.4114818999999998,103.7559456
lorong mambong,1.3112016000000002,103.7951706
sengkang east rd,1.3979467,103.8953495
seletar west link,1.4239647,103.8663335
upper changi rd east,1.3376892,103.9596963
halus link,1.3875708,103.9231653
tampines avenue 10,1.365374,103.9308438
jalan bahar,1.3549895,103.6978073
north bridge road,1.2888307,103.84913509999998
9b and,1.3114105,103.709369371364
jurong town hall road,1.3406499,103.7347255
jalan mat jambol,1.2800218,103.7908286
lornie road,1.3381835,103.8201833
tanglin road,1.2976638,103.8169157
pasir ris dr 8,1.3718356000000005,103.947395
eng neo avenue,1.3341615,103.7982651
mount pleasant,1.3267806999999998,103.8293716
choa chu kang way,1.4073391000000002,103.7465309
bideford road,1.3058518,103.8377122
upper bukit timah road,1.3533102,103.7697008
north buona vista,1.2924601999999998,103.7877731
joo chiat road,1.3050354,103.9056564
holland link,1.3274209,103.7885816
queensway,1.308069,103.8025128
ang mo kio avenue 9,1.3842676,103.84638259999998
jurong west avenue 2,1.3478005,103.706092
ecp changi,1.335696,103.9794115
woodlands ave 2,1.4410991000000002,103.7849668
woodlands ave 3,1.4310316,103.7682886
yuan ching,1.3243755,103.7228983
orchard rd,1.3051298999999998,103.8317011
jurong port rd,1.3091756,103.7122076
dairy farm rd,1.3648268,103.7744845
pasir ris industrial drive 1,1.3813801,103.932009
adam road,1.3284243999999998,103.8141326
pasir ris dr 12,1.37635,103.932074
ubi avenue 3,1.3336612,103.8983454
kpe,1.3585555,103.9029054
swiss club road,1.3377808,103.790133
eng neo rd,1.3417301,103.8040245
kramat road,1.3018141,103.8412757
bukit timah rd,1.3218918,103.8210326
central blvd,1.2763785,103.8575802
sims avenue,1.3152331,103.8832721
sheares link,1.2820941,103.8597758
rochor rd,1.2945465,103.86099140000002
yio chu kang rd,1.3670398,103.875386
jurong town hall rd,1.3406499,103.7347255
bayshore rd,1.3135036,103.9404207
hougang central,1.3711833999999998,103.8914556
alexandra rd,1.2857913,103.8026074
sin ming avenue,1.3632995,103.8362455
ang mo kio street 43,1.3694303,103.8553553
bedok north road,1.3306688999999998,103.9304093
kheam hock road,1.3226353000000002,103.8198231
pie changi,1.3370505,103.9796645
pioneer rd north,1.3251879999999998,103.696597
tpe,1.397284,103.9027214
cairnhill circle,1.3061352,103.8390097
eunos link,1.3353517,103.8988106
tampines,1.3546528,103.9435712
tuas link 4,1.3375671999999998,103.6395277
tampines flyover,1.3823447,103.9175167
kallang way,1.3249544,103.8767546
moulmein rd,1.3192964,103.8508199
braddell,1.3355306999999998,103.8620687
bartley viaduct,1.3416632,103.8955191
rochor canal road,1.3040915000000002,103.856393
yishun avenue 1,1.4219378,103.8640271
merchant road,1.2885069,103.8447163
bishan flyover,1.3440074,103.849038
macpherson rd,1.333144,103.8869252
cairnhill rise,1.3067367,103.8390994
jurong pier rd,1.3145683,103.709697
whitley rd,1.3271309999999998,103.8381304
raffles boulevard,1.2912847,103.8616405
macritchie viaduct,1.3403408,103.8324889
lornie rd,1.3381835,103.8201833
jalan eunos,1.3183102,103.904989
jurong west ave 2,1.3478005,103.706092
