DateTime,Event
2019-03-19 14:02:20,Accident on TPE (towards SLE) before Tampines Rd Exit. Avoid lane 2
2019-03-19 13:52:20,Obstacle on AYE (towards Tuas) after Tuas Rd Exit. Avoid lane 1
2019-03-19 12:12:14,Accident on Dunearn Road (towards City) after Swiss Club Road. Avoid right lane
2019-03-19 11:01:42,Accident on Lower Delta Road towards Jalan Bukit Merah
2019-03-19 10:39:32,Accident on PIE (towards Tuas) after Toa Payoh Exit
2019-03-19 10:27:51,Accident on Stevens Road towards Balmoral Park. Avoid right lane
2019-03-19 09:54:32,Accident on Hill Street (towards Coleman Street) after High Street
2019-03-19 09:46:48,Accident on KPE (towards ECP) after Tampines Rd Exit with congestion till Tampines Rd Exit. Avoid lanes 1 and 2
2019-03-19 09:35:41,Accident on KPE (towards ECP) after Tampines Rd Exit. Avoid lanes 1 and 2
2019-03-19 09:10:04,Accident on PIE (towards Tuas) after Thomson Rd Exit
2019-03-19 09:00:05,Accident on PIE (towards Tuas) after Thomson Rd Exit with congestion till CTE(SLE) Exit. Avoid lane 3
2019-03-19 08:44:04,Accident on PIE (towards Tuas) after Thomson Rd Exit with congestion till Toa Payoh Exit. Avoid lane 3
2019-03-19 08:39:38,Accident on PIE (towards Tuas) after Thomson Rd Exit. Avoid lane 3
2019-03-19 08:07:16,Obstacle on PIE (towards Changi Airport) at Lornie Rd Exit
2019-03-18 22:37:16,Accident on KJE (towards BKE) after Choa Chu Kang Way Exit. Avoid lanes 3 and 4
2019-03-18 22:33:23,Accident on Ang Mo Kio Avenue 5 (towards Ang Mo Kio Avenue 8) after Ang Mo Kio Avenue 6. Avoid left lane
2019-03-18 22:28:28,"Accident on KJE (towards BKE) after Choa Chu Kang Way Exit. Avoid lanes 2, 3 and 4"
2019-03-18 22:18:40,Accident on Ang Mo Kio Avenue 6 near Ang Mo Kio Avenue 5/Ang Mo Kio Avenue 6 Junction
2019-03-18 22:18:08,Accident on KJE (towards BKE) after Choa Chu Kang Way Exit. Avoid lanes 2 and 3
2019-03-18 20:50:56,Obstacle on PIE (towards Changi Airport) after Eng Neo Ave. Avoid lane 4
2019-03-18 19:11:16,Obstacle on BKE (towards Woodlands) before KJE Exit. Avoid lane 1
2019-03-18 19:07:50,Obstacle on BKE (towards PIE) after KJE Exit. Avoid lane 1
2019-03-18 18:54:32,Heavy Traffic on CTE (towards AYE) before PIE(Changi) Exit
2019-03-18 18:53:26,Accident on CTE (towards AYE) before PIE(Changi) Exit with congestion till AMK Ave 1 Exit
2019-03-18 18:45:05,Accident on KPE (towards TPE) after ECP Entrance. Avoid lane 4
2019-03-18 18:35:44,Accident on CTE (towards AYE) before PIE(Changi) Exit with congestion till AMK Ave 1 Exit. Avoid lane 4
2019-03-18 18:35:06,Accident on CTE (towards AYE) before PIE(Changi) Exit with congestion till AMK Ave 1 Exit. Avoid lane 3
2019-03-18 18:30:43,Accident on MCE (towards ECP) before ECP (Changi) Exit
2019-03-18 18:18:28,Accident on CTE (towards AYE) before PIE(Changi) Exit. Avoid lane 3
2019-03-18 18:11:54,Obstacle on PIE (towards Tuas) after Toa Payoh Exit. Avoid lane 1
2019-03-18 18:08:34,Heavy Traffic on PIE (towards Changi Airport) before Jalan Eunos
2019-03-18 18:00:55,Accident on PIE (towards Changi Airport) before Jalan Eunos with congestion till Paya Lebar Rd. Avoid lane 1
2019-03-18 17:58:40,Accident on PIE (towards Changi Airport) before Jalan Eunos. Avoid lane 1
2019-03-18 16:38:54,Obstacle on SLE (towards BKE) before Upper Thomson Rd Exit. Avoid lane 1
2019-03-18 15:28:40,Accident on Pasir Panjang Road (towards City) after Jalan Mat Jambol. Avoid left lane
2019-03-18 12:31:25,Obstacle on PIE (towards Changi Airport) after Pasir Laba. Avoid lane 1
2019-03-18 12:29:43,Accident on PIE (towards Changi Airport) at Clementi Ave 6 Exit
2019-03-18 12:16:36,Accident on BKE (towards PIE) after Mandai Rd Exit. Avoid lane 4
2019-03-18 12:05:41,Accident on TPE (towards PIE) before Loyang Ave Exit. Avoid lanes 3 and 4
2019-03-18 11:23:37,Accident on CTE (towards AYE) before PIE(Changi) Exit
2019-03-18 11:22:32,Accident on CTE (towards AYE) before PIE(Changi) Exit. Avoid lane 4
2019-03-18 10:57:54,Heavy Traffic on PIE (towards Tuas) before KPE Exit
2019-03-18 10:38:43,Accident on PIE (towards Tuas) before KPE Exit with congestion till Paya Lebar Rd. Avoid lane 2
2019-03-18 10:36:00,Accident on TPE (towards PIE) before Loyang Ave Exit with congestion till Pasir Ris Dr 8 Exit. Avoid lanes 3 and 4
2019-03-18 10:35:22,Accident on PIE (towards Tuas) before KPE Exit. Avoid lane 2
2019-03-18 09:50:54,Accident on TPE (towards PIE) before Loyang Ave Exit with congestion till Pasir Ris Dr 8 Exit. Avoid lane 4
2019-03-18 09:27:17,Accident on TPE (towards PIE) before Loyang Ave Exit. Avoid lane 4
2019-03-18 08:16:41,Accident on TPE (towards PIE) after Pasir Ris Dr 12 Exit
2019-03-18 08:16:08,Accident on PIE (towards Tuas) after Thomson Rd Exit. Avoid lane 1
2019-03-18 01:49:39,Accident on Dunearn Road (towards City) after Swiss Club Road
2019-03-18 01:47:30,"Accident on PIE (towards Changi Airport) after Kallang Way. Avoid lanes 1, 2 and 5"
2019-03-18 01:42:38,Accident on PIE (towards Changi Airport) after Kallang Way. Avoid lanes 1 and 2
2019-03-18 00:14:31,Obstacle on KPE (towards TPE) after Nicoll Highway Entrance. Avoid lane 3
2019-03-17 23:08:59,Accident on CTE (towards AYE) at PIE(Jurong) Exit
2019-03-17 22:46:47,Accident in CTE Tunnel (towards SLE) at Kramat Road Entrance
2019-03-17 21:46:06,Accident on Bukit Timah Expressway towards Woodlands Centre Road. Avoid right lane
2019-03-17 20:55:46,Accident on TPE (towards SLE) after Tampines Rd Exit
